disease	efo_iri
"fac2 (disc area, cup shape measure, and oppositely directed rim-to-disc area ratio and linear cup-to-disc ratio)"	EFO_0000516
childhood and early adolescence aggressive behavior	N/A
circulating a-tocopherol concentrations following 3 y of controlled vitamin e supplementation in men	HP_0100513
sepsis and sirs	EFO_1001478
glycerophospholipid levels	N/A
warfarin dose	EFO_0000000
type 1 diabetes nephropathy	EFO_0000401
tuberculosis with early age of onset	Orphanet_3389
myocardial infarction in coronary artery disease	EFO_0000612
cognitive response to topiramate treatment as measured by the changepc1 (overall cognition) cognitive test	EFO_0000000
urate levels in obese individuals	EFO_0004274
eicosadienoic acid	N/A
sporadic pituitary adenoma	HP_0011750
"nicotine dependence (smoking), ever smokers vs never smokers"	EFO_0003768
body mass index	EFO_0001073
psychosis (atypical)	EFO_0000677
glaucoma (primary angle closure)	N/A
disorders of lipoid metabolism	N/A
"noninflammatory disorders of ovary, fallopian tube, & broad ligament"	N/A
gender	N/A
shock	N/A
skin sensitivity to sun	EFO_0000000
pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio)	EFO_0000000
age-related macular degeneration	EFO_0001365
atrioventricular septal defects in down syndrome	N/A
post-traumatic stress disorder (ptsd)	EFO_0001358
"leg, lower trunk, upper trunk and arm subcutaneous adipose in antiretroviral-treated hiv-1 infected men"	N/A
age of onset of excessive daytime sleepiness	EFO_0000614
quetiapine treatment in schizophrenia: emotional response	N/A
sudden death suicides with a mood disorder vs. controls who died from other causes	N/A
obesity	EFO_0001073
prop taste detection threshold	N/A
serum dihydrotestosterone level in placebo group	EFO_0001379
maternal imprinting effects on cleft lip without cleft palate	EFO_0003959
ulcerative colitis or crohn's disease	EFO_0003767
platelet aggregation in response to epinephrine	N/A
autism with low iq	EFO_0003758
hypertension risk in short sleep duration	EFO_0000537
verbal recognition memory	EFO_0003925
marijuana dependence in women	EFO_0007191
bone properties (heel)	EFO_0003882
"pci (rim area, superotemporal rim area, inferotemporal rim area, rim-to-disc area ratio, and linear cup-to-disc ratio)"	EFO_0000516
refractive astigmatism	HP_0000539
left ventricular mass	EFO_0003896
multiple sclerosis (ocb status)	EFO_0003885
lung cancer in ever smokers	EFO_0001071
eur students <30 immediate story recall	EFO_0003925
hippocampal atrophy	EFO_0005772
skin color	EFO_0003784
life threatening arrhythmia	EFO_0004269
depression	EFO_0003761
open wound of eye or eyelid	N/A
exhaled carbon monoxide levels	EFO_0003768
cocaine dependence in women	N/A
superior frontal gyrus grey matter volume	N/A
docosahexaenoic acid	N/A
adiponectin levels (female)	EFO_0000589
common traits (other)	N/A
cytokine and corticosteroid-stimulated il-6 production	N/A
androgen levels	EFO_0001379
nonsyndromic cleft lip	EFO_0003959
"other conditions of brain, nos"	N/A
c0  concentration	N/A
eustachian tube disorders	EFO_0007415
osteitis deformans and osteopathies associated with other disorders	EFO_0004261
creutzfeldt-jakob disease (sporadic)	EFO_0004226
pain in joint	HP_0002829
chronic alcohol-related pancreatitis or recurrent acute alcohol-related pancreatitis	EFO_0000278
cancer prevalence	EFO_0000616
urine sodium	HP_0000083
arachidonic acid	N/A
gallbladder cancer	EFO_0000294
bipolar disorder in non-alcoholics	EFO_0000289
severe asthma	EFO_0000270
muscular wasting and disuse atrophy	HP_0003202
lung cancer (large cell carcinoma)	EFO_0001071
radiation response to therapy (radiation auc)	N/A
monocyte counts	Orphanet_2442
visceral adipose tissue to subcutaneous adipose tissue ratio	N/A
ankylosing spondylitis	EFO_0003898
von willebrand factor (vwf) in plasma	Orphanet_903
light activity (%awake time) by accelerometry in children	N/A
height sds at age 10 in females and age 12 in males combined	HP_0000823
non-substance related behavioral disinhibition	N/A
nonalcoholic fatty liver disease (steatosis)	EFO_0003095
thyroid stimulating hormone (tsh)	HP_0000820
colorectal adenoma	EFO_0000232
response to anti-tnf therapy in rheumatoid arthritis patients	N/A
diastolic blood pressure (normotensive only)	EFO_0000537
preeclampsia	EFO_0000668
type 2 diabetes	EFO_0001360
adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)	EFO_0000000
vldl cholesterol small lipoprotein fraction concentration	N/A
orofacial clefts (interaction)	EFO_0003959
pancytopenia	HP_0001876
circulating soluble interleukin-6 (sil-6)	GO_0006954
age-related cataract and alzheimer's disease (cortical cataract and temporal horn volume)	EFO_0001059
fasting serum total t3 (ng/dl) in children	N/A
fasciitis	HP_0100537
age at menopause	N/A
insulin	EFO_0000400
serum creatinine estimated glomerular filtration rate (egfr) without diabetes	HP_0000083
sporadic amyotrophic lateral sclerosis (als)	EFO_0000253
lipoid metabolism disorder nos	N/A
waist circumference	N/A
ldl cholesterol change with statins	HP_0003124
systemic sclerosis (anti-centromere antibody positive)	EFO_0000717
absolute mammographic dense area	EFO_0000305
lung cancer (smoking interaction)	EFO_0001071
lipid metabolism phenotypes	N/A
gastric parietal cell antibody positive (pca) type 1 diabetes	EFO_0001359
hip geometry	EFO_0003882
serum igg	HP_0004315
heart rate variability - lf/hf - low frequency/high frequency power	HP_0001649
"schizophrenia, schizoaffective disorder or bipolar disorder"	EFO_0000692
hip bone mineral density (bmd) (females)	N/A
periodontitis (mean pal)	EFO_0000649
"fat oxidation (%npee, nonprotein energy expenditure) in children"	N/A
depression scale of the revised neo personality inventory	EFO_0003761
"drug-induced liver injury-all dili cases with time to onset less than or equal to the median of 35 days, for cases not due to flucloxacillin or amoxicillin/clavulanate"	EFO_0004228
breast cancer risk (brca1 class 2 mutations only)	EFO_0000305
soluble levels of adhesion molecules	GO_0006954
breast cancer risk (excluding breast cancer cases diagnosed with breast cancer more than 5 years prior to study recruitment)	EFO_0000305
aspirin-intolerant asthma	EFO_0000270
temporal lobe atrophy	N/A
hair color (red)	EFO_0003924
persistent mental disorders due to other conditions	EFO_0000677
symmetrical dimethylarginine levels	EFO_0000319
cystic fibrosis-related diabetes in patients homozygous for f508del cftr	Orphanet_586
ldl cholesterol at age 12	HP_0003124
brain atrophy	EFO_0003885
follicule stimulating hormone	HP_0008222
brain natriuretic peptide (bnp)	N/A
extraversion (female)	HP_0012075
serum testosterone concentrations in men (calculated free testosterone)	EFO_0001379
"nicotine dependence (smoking), smoking cessation in a trial of precessation nicotine replacement"	EFO_0004319
coronary artery calcification (cac) dichotomous score >100	HP_0004934
fasting blood glucose	N/A
vitamin b levels in ischemic stroke	N/A
ldl cholesterol at age 14	HP_0003124
depressive symptoms	EFO_0003761
cyclophosphamide-induced neutropenia/leukopenia in cancer patients	N/A
psoriasis	EFO_0000676
alcohol behavior (12-month weekly alcohol consumption)	EFO_0003829
economic and political preferences (environmentalism)	N/A
"lung function, slope of forced expiratory flow (fef) between 25-75% of forced vital capacity (fvc)"	EFO_0003818
serum adipocyte fatty acid-binding protein levels in non-diabetics	EFO_0000400
blue vs. brown eyes	EFO_0003949
ovarian cancer survival	N/A
kashin-beck disease	EFO_0006511
anti-saccade response	N/A
obstructive sleep apnea	EFO_0003918
parathyroid hormone	N/A
cd4 count <400 in hiv-1 infection	EFO_0000764
neuroticism (male)	EFO_0004257
serum hdl cholesterol	Orphanet_425
dependent (behavior influenced) stressful life events	N/A
delayed story recall	EFO_0003925
senile dementia	EFO_0003862
balanoposthitis	N/A
b-cell chronic lymphocytic leukemia	EFO_0000095
femoral neck bone geometry	EFO_0003964
"hypertension, gender differentiated"	EFO_0000537
response to olanzapine on working memory in schizophrenia patients	N/A
femoral neck bone mineral density (bmd) (premenopausal)	N/A
response to anti-tnf alpha therapy in inflammatory bowel disease	N/A
asthma with exacerbation	HP_0012653
response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)	N/A
rate of age-related cognitive decline (global cognition cognitive decline)	N/A
ewing sarcoma	EFO_0000174
platelet rich plasma (prp) colllagen (col)-secretion 2 ug/ml	N/A
political preferences (foreign policy)	N/A
acute lymphoblastic leukemia (b-cell precursor)	EFO_0000220
"asthma (childhood, severe)"	EFO_0000270
hip bone mineral density (bmd)	N/A
total ventricular volume in alzheimer's disease	N/A
angina pectoris	EFO_0003913
hypersomnia	N/A
mathematical ability	EFO_0004337
sjogren's syndrome	EFO_0000699
"gastric cancer (cardia, adenocarcinoma)"	EFO_0003897
subclinical atherosclerosis traits (other)	EFO_0003914
response to metformin	N/A
hepatitis b	EFO_0004197
total brain volume (excluding patients with neuropsychiatric disorders)	N/A
arterial embolism and thrombosis	N/A
plasma adiponectin (males)	EFO_0000589
"hip geometry, neck shaft angle"	EFO_0003882
lung cancer in smokers (pack-years <=35)	EFO_0001071
allergy to serum or vaccine	EFO_0000000
"bone mineral density (paediatric, upper limb)"	N/A
creatine phosphokinase	N/A
congenital heart disease	N/A
waist circumference in controls	N/A
age-related macular degeneration in ever smokers	EFO_0001365
hepatocellular carcinoma vs. liver cirrhosis	EFO_0000182
hdl cholesterol (in obese individuals)	Orphanet_425
sleep duration	N/A
subjective response to d-amphetamine and the risk for amphetamine addiction	N/A
bacteremia	EFO_0003033
response to tocilizumab for the treatment of rheumatoid arthritis (american college of rheumatology 20% improvements in disease activity measure at week 24)	N/A
alzheimer's disease (apoe e4 interaction)	EFO_0000249
drug-induced liver injury-all hepatocellular dili cases not due to flucloxacillin or amoxicillin/clavulanate	EFO_0004228
motor coordination problems in children with attention deficit/hyperactivity disorder (adhd)	EFO_0003888
other dermatoses	EFO_0000701
openness to experience	EFO_0004316
anti-la autoantibody status in systemic lupus erythematosus (sle) patients	EFO_0002690
qrs duration in tripanosoma cruzi seropositivity	HP_0001657
citalopram response in major depressive disorder (quick inventory of depressive symptoms: self-rated)	N/A
response to tocilizumab for the treatment of rheumatoid arthritis (change in swollen joint count)	N/A
age-related macular degeneration (smoking status interaction)	EFO_0001365
transferrin saturation with iron	HP_0001891
secondary thrombocytopenia	HP_0001873
light activity (min/d) by accelerometry in children	N/A
immediate story recall	EFO_0003925
"heart rate in non-obese, non-cancer and non-kidney stone individuals"	HP_0001649
nontoxic nodular goiter	EFO_1001062
body mass index (bmi)	EFO_0001073
heart rate variability - sdnn - standard deviation of normal rr intervals	HP_0001649
high-risk neuroblastoma	EFO_0000621
metacholine concentration in bronchial challenge test (pc20)	EFO_0000270
common variable immunodeficiency (malabsorption)	Orphanet_1572
waist hip ratio	N/A
alcohol behavior (heaviness of drinking factor score)	EFO_0003829
job-related exhaustion	HP_0012378
scoliosis	EFO_0004273
relative wall thickness in hypertensive families	EFO_0002503
smoking behaviour	EFO_0003768
percent cell survival after 80 umol/l carboplatin	N/A
cognitive outcome in parkinson's disease	EFO_0002508
coagulation factor levels	N/A
serum total protein	EFO_0005803
ankle brachial index	EFO_0003914
inflammation of the eye	EFO_0003966
breast cancer in brca2 mutation carriers	EFO_0000305
congenital heart malformations	N/A
eosinophilic esophagitis (pediatric)	EFO_0004232
seasonal pattern mania	EFO_0003761 
corneal astigmatism (corneal cylinder power =-1.0d cases vs. >-0.75d controls)	HP_0000539
eosinophilic esophagitis	EFO_0004232
"pure tone average (0.25,0.5,1.0 khz)"	N/A
body mass index (bmi) (genotype x age interactions)	EFO_0001073
electrolyte imbalance	N/A
aggressive periodontitis (sex interaction)	EFO_0000649
addiction	EFO_0003890
coronary artery disease (cad) (males)	EFO_0000378
platelet aggregation in response to epinephrine 3um/10um	N/A
leukocyte telomere length in females	N/A
other nonspecific findings on examination of urine	N/A
local histogram emphysema pattern	N/A
plasma adiponectin (females)	EFO_0000589
microalbuminuria	EFO_0004285
circulating 25(oh)d (vitamin d) levels	EFO_0003762
colorectal adenoma (including hyperplasic)	EFO_0000232
toluene diisocyanate induced asthma	EFO_0000270
psychosis in alzheimer's disease	EFO_0000677
"type 1 diabetes, gender differentiated"	EFO_0001359
cisplatin-induced cytotoxicity	N/A
pulmonary tuberculosis	EFO_1000049
prostate cancer mortality	EFO_0000673
antineutrophil cytoplasmic antibody-associated vasculitis	N/A
response to alcohol consumption (flushing response)	EFO_0004329
adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil)	EFO_0000000
adverse response to chemotherapy (neutropenia/leucopenia) (camptothecin)	EFO_0000000
spontaneous preterm birth (preterm birth)	EFO_0003917
femoral neck bone geometry and menarche (age at onset)	EFO_0003882
all antimicrotubule drugs-induced neutropenia/leukopenia in cancer patients	N/A
common carotid artery thickness (average of near and far wall measures)	EFO_0003781
pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio)	EFO_0000000
common variable immunodeficiency (cancer)	Orphanet_1572
incident coronary heart disease (chd) excluding revascularization procedures	EFO_0001645
epirubicin-induced neutropenia/leukopenia in cancer patients	N/A
disordered gambling	EFO_0004699
systolic blood pressure (sbp) (females)	EFO_0000537
plasma soluble intercellular adhesion molecule 1 (icam-1) (females)	GO_0006954
bipolar disorder (inflammation and infection response interaction)	EFO_0000289
glioma (females)	EFO_0000326
snack intake (kcal) in children	N/A
colorectal cancer (calcium intake interaction)	EFO_0000365
forced vital capacity (fvc)	EFO_0003818
osteoarthritis biomarkers	EFO_0002506
beta-trace protein levels	EFO_0003086
allergic rhinitis in asthma	N/A
diseases of respiratory system	EFO_0000684
myocardial infarction (mi) in patients with coronary artery disease (cad) by angiography	EFO_0000612
"melanoma (skin cancer), at the trunk"	EFO_0000756
generalized vitiligo without concomitant other autoimmune disorder	EFO_0004208
circulating interleukin-6 (il-6)	GO_0006954
urinary creatinine (mmol/d) in children	N/A
angiotensin-converting enzyme activity	EFO_0000537
periodontitis (severe chronic periodontitis in males)	EFO_0006343
colorectal cancer vs. adenoma controls	EFO_0000365
pancreatic cancer and survival	N/A
anthropometric traits	EFO_0004302
immune reponse to smallpox (secreted tnf-alpha)	N/A
drug-induced liver injury-all dili cases with a fluoroquinolone antibiotic implicated	EFO_0004228
serum chloride	N/A
glucose levels	N/A
drug-induced liver injury-all female dili cases and controls	EFO_0004228
homa-ir (%)	N/A
phospholipid levels (plasma)	N/A
plasma homocysteine levels	EFO_0003914
breast cancer (estrogen receptor positive breast cancer)	EFO_0000305
lung cancer in never-smoking women	EFO_0001071
orchitis and epididymitis	EFO_1001078
leukocyte telomere length	N/A
"cholesterol, total"	HP_0003124
kawasaki disease (male)	EFO_0004246
bivariate lumbar spine and femoral neck bone mineral density (bmd) (males)	N/A
ischemic stroke	EFO_0000712
alcohol (ever vs. never)	EFO_0004329
circulating sex hormone-binding globulin levels in postmenopausal hormone users	EFO_0001379
response to protease inhibitor treatment in hepatitis c (bilirubin toxicity)	N/A
rate of age-related cognitive decline (episodic memory cognitive decline)	N/A
cerebrospinal fluid clusterin levels in apoee4 carriers	EFO_0000249
treatment outcomes for selective serotonin reuptake inhibitors (ssris) - response at minimum 6 weeks	N/A
alpha-2-adrenoceptor-mediated vasoconstriction	EFO_0000319
serum gamma-glutamyl transferase (ggt) activity (in adults)	EFO_0001421
fasting plasma total cysteine (umol/l) in children	N/A
blood pressure (smoking interaction)	EFO_0000537
bipolar disorder (body mass index interaction)	EFO_0000289
thyrotoxicosis	N/A
theta power determined by eeg	N/A
metabolite levels (hva/mhpg ratio)	EFO_0000618
metabolite levels (5-hiaa)	EFO_0000618
primary biliary cirrhosis in females	HP_0002613
cancer of other female genital organs	N/A
exercise treadmill test traits	EFO_0000319
lymphoid malignancies	EFO_0000574
"late onset alzheimer's disease (females, homozygotes versus non-carriers)"	EFO_0000249
height (males)	EFO_0004339
"nicotine dependence (smoking), cigarettes per day"	EFO_0003768
leukocyte telomere length in men	N/A
periodontitis (chronic)	EFO_0006343
lesion load (multiple sclerosis)	EFO_0003885
"hepatic cancer, primary"	EFO_0000182
wilms tumor	EFO_1000056
common variable immunodeficiency (lymphoid interstitial pneumonitis)	Orphanet_1572
major depressive disorder (age of onset)	EFO_0003761
fasting serum estradiol (pg/ml) in children	N/A
serum urate	HP_0000083
glycan peak 1 in women	GO_0070085
primary biliary cirrhosis (anti-mitochondrial antibody positive)	HP_0002613
disorders of parathyroid gland	N/A
rr interval (heart rate)	HP_0001649
"hip geometry, neck shaft angle, gender differentiated in males"	EFO_0003882
diseases of nail	HP_0001597
myocardial infarction (mi)	EFO_0000612
alcohol and nictotine co-dependence	EFO_0003890
cerivastatin-induced rhabdomyolysis	EFO_0000000
glycan peak 1	GO_0070085
immunoglobulin g index levels in multiple sclerosis	HP_0002961
"lung function, mean forced expiratory volume in 1 second (fev1)"	EFO_0003818
alcoholism (alcohol use disorder factor score)	EFO_0003829
14-item case/control for disordered eating behaviors	N/A
insomnia (caffeine-induced)	N/A
serum total cholesterol	HP_0003124
odorant perception (&beta;-ionone)	HP_0000458
smoking quantity	EFO_0003768
all anthracycline-based drugs-induced neutropenia/leukopenia in cancer patients	N/A
nonsyndromic cleft lip with or without cleft palate	EFO_0003959
erythema nodosum in inflammatory bowel disease	HP_0012219
anti-cyclic citrullinated peptide titer	EFO_0000685
longevity (90 years and older)	EFO_0004300
childhood obesity (body mass index (bmi))	N/A
periodontitis (dpal)	EFO_0000649
hip bone size (females)	EFO_0004260
known or suspected fetal abnormality	N/A
fat mass-hip bone mineral density (bmd) (males)	N/A
open wound of foot except toe(s) alone	N/A
age at menarche and femoral neck bone cortical thickness	HP_0000823
folding of antihelix	N/A
trunk fat mass	N/A
dehydroepiandrosterone sulphate levels	N/A
interstitial lung disease	EFO_0004244
duodenal ulcer	EFO_0004607
igg glycosylation	GO_0070085
gray matter volume (schizophrenia interaction)	EFO_0000692
lp-pla2 mass	EFO_0000319
"amyotrophic lateral sclerosis (als), age of onset <45"	EFO_0000253
plasma myeloperoxidase levels	EFO_0000378
ventral hernia	HP_0002933
joint damage severity in rheumatoid arthritis	EFO_0000685
antisocial behavior and callous-unemotional behavior	N/A
fetal hemoglobin level (the proportion of f-cells in sickle-cell disease - males)	Orphanet_68364
body fat distribution	N/A
serum lactate dehydrogenase	GO_0008219
increased specific ige levels	N/A
sporadic post-menopausal breast cancer	EFO_0000305
serum myeloperoxidase levels	EFO_0000378
progression free survival in metastatic colorectal cancer (treatment interaction)	N/A
"nevus count, log"	EFO_0000625
circulating high-sensitivity c-reactive protein (crp)	N/A
substance dependence phenotypes	EFO_0003890
drinking behavior	EFO_0004315
alanine aminotransferase (alt) in nonalcoholic fatty liver disease	EFO_0003095
estradiol plasma levels (breast cancer)	EFO_0000305
glycosylated hemoglobin in nondiabetic subjects	N/A
weight loss after roux-en-y gastric bypass surgery	HP_0001824
urate levels in lean individuals	EFO_0004274
trailsb	EFO_0003925
ige levels in asthmatics (d.f. specific)	N/A
viscosity	N/A
interleukin-6r	EFO_0000540
"fac1 (rim area, superotemporal rim area, and inferotemporal rim area)"	EFO_0000516
aortic root diameter	EFO_0001666
fasting serum total antioxidants (mm) in children	N/A
azoospermia	EFO_0004248
information processing speed	EFO_0003925
strength of r-banks of the superior temporal sulcus	N/A
rem sleep	N/A
lung cancer (adenocarcinoma) in never smokers	EFO_0001071
ulcerative stomatitis & mucositis	EFO_1001047
sedentary activity (%awake time) by accelerometry in children	N/A
baibu concentration	N/A
fasting plasma vitamin b12 (pmol/l) in children	EFO_0000734
liver enzyme levels (alanine transaminase)	EFO_0001421
cerebrovascular disease	EFO_0003763
amyotrophic lateral sclerosis (als) survival time post-diagnosis	N/A
meningioma	Orphanet_2495
vascular brain injury	N/A
waist circumference and related phenotypes	N/A
prothrombin time	N/A
pulse pressure (alcohol consumption interaction)	EFO_0000537
mastoiditis	HP_0000265
plasma beta-trace protein levels	EFO_0003086
hashimoto's thyroiditis	EFO_0003779
homoarginine levels	EFO_0000319
major depressive disorder (broad definition)	EFO_0003761
pediatric allergic asthma	N/A
exfoliation syndrome	EFO_0004235
liver enzyme levels (aspartate transaminase)	EFO_0001421
serum magnesium	EFO_0000589
gamma-glutamyl transferase (ggt) in serum	EFO_0001421
response to statin therapy (ldl-c)	N/A
90k protein	N/A
vaspin levels	EFO_0000589
schizophrenia (negative symptoms)	EFO_0000692
diseases of pancreas	N/A
goiter	EFO_0004283
cannabis dependence	EFO_0007191
"nicotine dependence (smoking), smoking initiation"	EFO_0003768
retinopathy in nondiabetics	EFO_0003839
uterine leiomyoma	EFO_0000731
tuberculosis with late age of onset	Orphanet_3389
cytarabine sensitivity	N/A
beta2-glycoprotein i plasma level	EFO_0002689
bmi tails (upper and lower 5th percentiles)	EFO_0001073
"other (non-nicotine, non-smoking, non-marijuana, non-cocaine, non-opiate) dependence in women"	EFO_0003890
hair m (melanin index by reflectance spectroscopy)	EFO_0003963
gp130 levels	EFO_0000540
rate of age-related cognitive decline	N/A
open wound of lip and mouth	N/A
insulin-like growth factors	GO_0008283
small-cell lung cancer (survival)	N/A
serum ceruloplasmin levels	N/A
"cancer of other lymphoid, histiocytic tissue"	EFO_0000574
female sexual dysfunction (arousal)	EFO_0004714
intracranial hemorrhage	EFO_0000551
beta cryptoxanthin	EFO_1001237
major depressive disorder age at onset<30	EFO_0003761
intraocular pressure (taken at worst eye)	EFO_0000516
actinic keratosis	EFO_0002496
"hypertension, combined control dataset"	EFO_0000537
major depressive disorder age at onset<35	EFO_0003761
"asthma, childhood and later onset"	EFO_0000270
"type 2 diabetes, gender differentiated"	EFO_0001360
age-related macular degeneration (ga)	EFO_0001365
"attention deficit/hyperactivity disorder (adhd), all symptoms (fbat-pc)"	EFO_0003888
airway hyperresponsiveness	N/A
palmitoleic acid (16:1n-7) plasma levels	N/A
mean corpuscular hemoglobin concentration (mchc)	EFO_0004272
recurrent major depressive disorder	EFO_0003761
iron metabolism disorder	N/A
hdl cholesterol at age 16	Orphanet_425
lung cancer (dna repair capacity)	EFO_0001071
amygdala reactivity	N/A
age in patients with childhood acute lymphoblastic leukemia relapse	EFO_0000220
postlaminectomy syndrome	N/A
hdl cholesterol particle diameter	Orphanet_425
drug-induced liver injury-all pediatric dili cases (age of onset < 18yrs)	EFO_0004228
crohn's disease time to surgery	EFO_0000384
visceral adipose tissue (female)	N/A
symptoms affecting skin	EFO_0000701
self employment (entrepreneurship) in males	N/A
hdl cholesterol at age 12	Orphanet_425
paget's disease of bone	EFO_0004261
"coronary spasm, gender differentiated in women"	EFO_0004225
lung cancer in smokers (pack years of smoking <=25)	EFO_0001071
years of education	N/A
plasma amyloid beta peptide concentrations (abx-40)	EFO_0000249
"autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)"	EFO_0003758
longstanding arthritis	EFO_0005856
soluble transferrin receptor	N/A
major depressive disorder	EFO_0003761
prostate cancer aggressiveness	EFO_0000673
visceral adipose tissue (male)	N/A
iris characteristics	N/A
stricture of artery	EFO_0004264
bone area (cm2)	N/A
total cholesterol (males)	HP_0003124
plasma renin activity levels	N/A
triglycerides in genotype 1 chronic hepatitis c virus  (hcv)	EFO_0004211
amyotrophic lateral sclerosis or frontotemporal dementia	EFO_0000253
melanoma (skin cancer)	EFO_0000756
blood soluble e-selectin levels (female)	EFO_0000400
cytomegalovirus antibody response	EFO_0001062
clotting factor deficiency	N/A
event-related brain oscillations	EFO_0000618
blood pressure response to hydrochlorothiazide treatment	N/A
white blood cell count	EFO_0004233
"drug-induced liver injury-all dili cases with age of onset greater than the median of 52.5 years, for cases not due to flucloxacillin or amoxicillin/clavulanate"	EFO_0004228
sleep disorders	N/A
spine bone mineral density (bmd)	N/A
"antiphospholipid antibodies (two or more of anticardiolipin (acl), lupus anticoagulant (lac), or anti-beta 2gpi)"	EFO_0002689
otitis media in children 3 years old or younger	EFO_0004992
clubfoot	HP_0001762
hair morphology	N/A
stroke age of onset <70	EFO_0000712
eye color (hue)	EFO_0003949
transmission distortion	N/A
"fibrinogen levels (smoking status, alcohol consumption or body mass index interaction)"	N/A
left ventricular mass (lv mass) in hypertensive families	EFO_0002503
alzheimer's disease (cognitive decline)	EFO_0000249
iron status biomarkers (iron levels)	N/A
triglycerides:hdl cholesterol ratio	EFO_0004211
epithelial ovarian cancer	EFO_0001075
percentage of total caloric intake from macronutrients (protein)	EFO_0003939
zeaxanthin in plasma	EFO_0005878
gallstone disease	EFO_0004210
neuroblastoma (high-risk)	EFO_0000621
oral cancer in patients with long term tobacco chewing habit	EFO_0003868
prostate cancer (early onset)	EFO_0000673
body mass index (bmi) in asthmatic children	EFO_0001073
neuroblastoma (brain cancer)	EFO_0000621
advanced age-related macular degeneration (geographic atrophy) vs. no amd	HP_0011506
resting heart rate	HP_0001649
anorexia nervosa (females)	EFO_0004215
subcutaneous adipose tissue	EFO_0001073
bipolar disorder (psychotic symptoms)	EFO_0000289
myocardial infarction (early onset)	EFO_0000612
body mass index (bmi) in non-asthmatic children	EFO_0001073
ldl cholesterol (male)	HP_0003124
resistin levels	EFO_0000589
body mass index (bmi) >40 kg/m2	EFO_0001074
rate of aids progression	EFO_0000765
mood disorder in prion disease	EFO_0004247
"crohn's disease, combined control dataset, gender differentiated"	EFO_0000384
psoriasis vulgaris	EFO_0000676
fasting blood glucose change in response to hydrochlorothiazide	EFO_0000000
mucinous ovarian carcinoma	EFO_0001075
frontal theta event-related brain oscillations for the target stimulus from the visual oddball task in families affected with alcoholism	N/A
cocaine dependence	N/A
coronary artery disease (cad) (men)	EFO_0000378
cardiac hypertrophy	EFO_0002503
suicide behavior	EFO_0004321
heschl's gyrus morphology	N/A
blood pressure (response to angiotensin-converting enzyme inhibitor)	N/A
longevity	EFO_0004300
breast cancer (male breast cancer)	N/A
acute reaction to stress	N/A
thyrotoxic hypokalemic periodic paralysis	Orphanet_681
visceral adipose tissue adjusted for bmi	N/A
cervical artery dissection	HP_0012159
gene methylation in lung tissue	GO_0006306
soluble p-selectin	GO_0006954
panic disorder	EFO_0004262
ldl cholesterol mean size lipoprotein fraction concentration	N/A
serum dimethylarginine levels (asymmetric)	EFO_0000319
ankle-brachial index in diabetics	EFO_0003914
"lung function, forced vital capacity (fvc) (fev1/fvc) percent predicted (in asthmatic participants)"	EFO_0003818
conscientiousness (male)	HP_0012075
cholesterol and triglycerides	EFO_0004211
apoe (apolipoprotein e)	N/A
electroencephalogram traits	N/A
platelet rich plasma (prp) adp-secretion 8 um	N/A
visceral to subcutaneous fat ratio (vsr)	N/A
grass sensitization (vs. clean controls)	N/A
low-risk neuroblastoma	EFO_0000621
"lung function, maximal expiration flow at 75% forced vital capactiy (fvc)"	EFO_0003818
ratio of forced expiratory volume in 1 second (fev1) to forced vital capacity (fvc) (fev1/fvc)	EFO_0003818
"hip geometry, neck section modulus, gender differentiated in males"	EFO_0003882
hodgkin's lymphoma	EFO_0000183
all topoisomerase inhibitors-induced neutropenia/leukopenia in cancer patients	N/A
seasonality	EFO_0003761 
sleep efficiency	N/A
triglycerides (ln)	EFO_0004211
alcoholism (alcohol dependence factor score)	EFO_0003829
"platelet aggregation to epinephrine post-aspirin, in european ancestry"	HP_0004936
coronary artery disease or ischemic stroke	EFO_0003763
anti-cytomegalovirus igg titer	EFO_0001062
paclitaxel-induced cytotoxicity	N/A
non-melanoma skin cancer	EFO_0004198
weight loss (gastric bypass surgery)	HP_0001824
fatty liver	EFO_0003934
serum uric acid levels	EFO_0004274
bisphosphonate-induced osteonecrosis of the jaw	N/A
burning and freckling	EFO_0000000
bone mineral content	N/A
bronchopulmonary dysplasia	Orphanet_70589
morbidity-free survival	N/A
eye color - hue-saturation 1st principal component	EFO_0003949
response to anti-tnf treatment for rheumatoid arthritis (change in disease activity score (das28))	N/A
male fertility (birth rate)	EFO_0004248
breast cancer (brca1-carriers)	EFO_0000305
plasma c-reactive protein (female)	N/A
ischemic heart disease	N/A
body mass index (bmi) and hip bone bone mineral density (bmd) (males)	N/A
moderate activity (%awake time) by accelerometry in children	N/A
appendicular lean mass-hip bone size (bivariate)	EFO_0003882
treatment outcomes for selective serotonin reuptake inhibitors (ssris) - remission at minimum 6 weeks	N/A
temozolomide response	N/A
airflow obstruction-all	N/A
"type 1 diabetes, end stage renal disease"	EFO_0000401
